,group,gene
PG_001495_T.1,1,PG_001495_T.1
PG_006719_T.1,1,PG_006719_T.1
PG_010167_T.1,2,PG_010167_T.1
PG_000884_T.1,1,PG_000884_T.1
PG_005555_T.1,1,PG_005555_T.1
PG_001267_T.1,2,PG_001267_T.1
PG_004784_T.1,1,PG_004784_T.1
PG_011237_T.1,2,PG_011237_T.1
PG_000110_T.1,1,PG_000110_T.1
PG_014800_T.1,2,PG_014800_T.1
PG_004766_T.1,1,PG_004766_T.1
PG_001664_T.1,2,PG_001664_T.1
PG_013894_T.1,1,PG_013894_T.1
PG_024118_T.1,2,PG_024118_T.1
PG_011865_T.1,1,PG_011865_T.1
PG_010864_T.1,1,PG_010864_T.1
PG_005136_T.1,1,PG_005136_T.1
PG_013442_T.1,2,PG_013442_T.1
PG_012858_T.1,2,PG_012858_T.1
PG_011784_T.1,2,PG_011784_T.1
PG_023211_T.1,2,PG_023211_T.1
PG_005999_T.1,2,PG_005999_T.1
PG_001171_T.1,2,PG_001171_T.1
PG_011320_T.1,2,PG_011320_T.1
PG_013253_T.1,1,PG_013253_T.1
PG_005127_T.1,2,PG_005127_T.1
PG_001676_T.1,1,PG_001676_T.1
PG_013346_T.1,2,PG_013346_T.1
PG_010373_T.1,1,PG_010373_T.1
PG_001564_T.1,2,PG_001564_T.1
PG_002005_T.1,1,PG_002005_T.1
PG_008159_T.1,2,PG_008159_T.1
PG_008276_T.1,2,PG_008276_T.1
PG_014494_T.1,1,PG_014494_T.1
PG_011200_T.1,1,PG_011200_T.1
PG_013071_T.1,2,PG_013071_T.1
PG_007303_T.1,1,PG_007303_T.1
PG_001886_T.1,1,PG_001886_T.1
PG_015270_T.1,1,PG_015270_T.1
PG_001193_T.1,1,PG_001193_T.1
PG_000584_T.1,1,PG_000584_T.1
PG_015866_T.1,1,PG_015866_T.1
PG_007685_T.1,2,PG_007685_T.1
PG_005505_T.1,2,PG_005505_T.1
PG_009724_T.1,2,PG_009724_T.1
PG_001504_T.1,1,PG_001504_T.1
PG_009729_T.1,2,PG_009729_T.1
PG_006322_T.1,1,PG_006322_T.1
PG_014168_T.1,2,PG_014168_T.1
PG_006877_T.1,2,PG_006877_T.1
PG_002362_T.1,1,PG_002362_T.1
PG_010109_T.1,2,PG_010109_T.1
PG_007295_T.1,1,PG_007295_T.1
PG_002403_T.1,1,PG_002403_T.1
PG_012672_T.1,2,PG_012672_T.1
PG_004470_T.1,2,PG_004470_T.1
PG_013905_T.1,2,PG_013905_T.1
PG_010080_T.1,1,PG_010080_T.1
PG_003313_T.1,1,PG_003313_T.1
PG_014901_T.1,2,PG_014901_T.1
PG_006047_T.1,2,PG_006047_T.1
PG_002623_T.1,1,PG_002623_T.1
PG_029236_T.1,2,PG_029236_T.1
PG_014590_T.1,1,PG_014590_T.1
PG_000630_T.1,2,PG_000630_T.1
PG_014495_T.1,2,PG_014495_T.1
PG_009337_T.1,1,PG_009337_T.1
PG_013095_T.1,1,PG_013095_T.1
PG_008056_T.1,1,PG_008056_T.1
PG_022402_T.1,2,PG_022402_T.1
PG_012815_T.1,1,PG_012815_T.1
PG_001393_T.1,2,PG_001393_T.1
PG_009553_T.1,2,PG_009553_T.1
PG_012744_T.1,2,PG_012744_T.1
PG_011998_T.1,1,PG_011998_T.1
PG_007661_T.1,1,PG_007661_T.1
PG_008028_T.1,1,PG_008028_T.1
PG_014938_T.1,1,PG_014938_T.1
PG_010927_T.1,2,PG_010927_T.1
PG_014185_T.1,2,PG_014185_T.1
PG_003105_T.1,1,PG_003105_T.1
PG_009746_T.1,2,PG_009746_T.1
PG_010849_T.1,2,PG_010849_T.1
PG_015800_T.1,2,PG_015800_T.1
PG_004484_T.1,2,PG_004484_T.1
PG_010057_T.1,2,PG_010057_T.1
PG_012475_T.1,2,PG_012475_T.1
PG_005065_T.1,2,PG_005065_T.1
PG_010143_T.1,2,PG_010143_T.1
PG_011585_T.1,2,PG_011585_T.1
PG_001877_T.1,2,PG_001877_T.1
PG_014791_T.1,1,PG_014791_T.1
PG_015723_T.1,2,PG_015723_T.1
PG_006090_T.1,1,PG_006090_T.1
PG_013630_T.1,1,PG_013630_T.1
PG_016628_T.1,1,PG_016628_T.1
PG_008434_T.1,1,PG_008434_T.1
PG_000446_T.1,1,PG_000446_T.1
PG_014761_T.1,1,PG_014761_T.1
PG_012607_T.1,1,PG_012607_T.1
PG_007453_T.1,1,PG_007453_T.1
PG_014463_T.1,1,PG_014463_T.1
PG_008461_T.1,2,PG_008461_T.1
PG_006080_T.1,1,PG_006080_T.1
PG_012439_T.1,1,PG_012439_T.1
PG_010694_T.1,1,PG_010694_T.1
PG_013057_T.1,1,PG_013057_T.1
PG_005699_T.1,1,PG_005699_T.1
PG_008285_T.1,1,PG_008285_T.1
PG_006191_T.1,2,PG_006191_T.1
